variable_name,variable_label,variable_class,n_observations,n_missing,n_nonmissing,pct_missing,pct_nonmissing,n_unique_values,is_original_imported,is_clean_numeric,is_analytical_recode,is_derived_script05
num_IYEAR,NA,numeric,6504,0,6504,0,100,2,FALSE,TRUE,FALSE,FALSE
num_H1CO1,NA,numeric,6504,86,6418,1.32,98.68,3,FALSE,TRUE,FALSE,FALSE
num_H1CO2M,NA,numeric,6504,4128,2376,63.47,36.53,13,FALSE,TRUE,FALSE,FALSE
num_H1CO2Y,NA,numeric,6504,4117,2387,63.3,36.7,16,FALSE,TRUE,FALSE,FALSE
num_H1CO8,NA,numeric,6504,5867,637,90.21,9.79,3,FALSE,TRUE,FALSE,FALSE
num_H1CO9,NA,numeric,6504,6117,387,94.05,5.95,6,FALSE,TRUE,FALSE,FALSE
num_H1CO3,NA,numeric,6504,3956,2548,60.82,39.18,3,FALSE,TRUE,FALSE,FALSE
num_H1CO6,NA,numeric,6504,3971,2533,61.05,38.95,3,FALSE,TRUE,FALSE,FALSE
num_H1CO13,NA,numeric,6504,5881,623,90.42,9.58,3,FALSE,TRUE,FALSE,FALSE
num_H1FP7,NA,numeric,6504,5254,1250,80.78,19.22,3,FALSE,TRUE,FALSE,FALSE
num_H1FP8,NA,numeric,6504,6271,233,96.42,3.58,5,FALSE,TRUE,FALSE,FALSE
num_H1CO16D,NA,numeric,6504,3942,2562,60.61,39.39,3,FALSE,TRUE,FALSE,FALSE
num_H1HS9,NA,numeric,6504,21,6483,0.32,99.68,3,FALSE,TRUE,FALSE,FALSE
num_H1CO16A,NA,numeric,6504,3946,2558,60.67,39.33,3,FALSE,TRUE,FALSE,FALSE
num_H1CO16C,NA,numeric,6504,3943,2561,60.62,39.38,3,FALSE,TRUE,FALSE,FALSE
num_H1SE1,NA,numeric,6504,2161,4343,33.23,66.77,7,FALSE,TRUE,FALSE,FALSE
num_H1SE2,NA,numeric,6504,2134,4370,32.81,67.19,7,FALSE,TRUE,FALSE,FALSE
num_H1SE3,NA,numeric,6504,2134,4370,32.81,67.19,7,FALSE,TRUE,FALSE,FALSE
num_H1PF6,NA,numeric,6504,209,6295,3.21,96.79,6,FALSE,TRUE,FALSE,FALSE
num_H1PF12,NA,numeric,6504,366,6138,5.63,94.37,6,FALSE,TRUE,FALSE,FALSE
num_H1PF9,NA,numeric,6504,437,6067,6.72,93.28,6,FALSE,TRUE,FALSE,FALSE
num_H1PF17,NA,numeric,6504,464,6040,7.13,92.87,6,FALSE,TRUE,FALSE,FALSE
num_H1WP1,NA,numeric,6504,151,6353,2.32,97.68,3,FALSE,TRUE,FALSE,FALSE
num_H1WP2,NA,numeric,6504,142,6362,2.18,97.82,3,FALSE,TRUE,FALSE,FALSE
num_H1WP8,NA,numeric,6504,154,6350,2.37,97.63,9,FALSE,TRUE,FALSE,FALSE
num_H1ED19,NA,numeric,6504,138,6366,2.12,97.88,6,FALSE,TRUE,FALSE,FALSE
num_H1ED20,NA,numeric,6504,138,6366,2.12,97.88,6,FALSE,TRUE,FALSE,FALSE
num_H1ED23,NA,numeric,6504,137,6367,2.11,97.89,6,FALSE,TRUE,FALSE,FALSE
num_H1ED24,NA,numeric,6504,137,6367,2.11,97.89,6,FALSE,TRUE,FALSE,FALSE
num_H1PR2,NA,numeric,6504,28,6476,0.43,99.57,7,FALSE,TRUE,FALSE,FALSE
num_BIO_SEX,NA,numeric,6504,1,6503,0.02,99.98,3,FALSE,TRUE,FALSE,FALSE
num_H1RM1,NA,numeric,6504,427,6077,6.57,93.43,13,FALSE,TRUE,FALSE,FALSE
num_H1RF1,NA,numeric,6504,2010,4494,30.9,69.1,13,FALSE,TRUE,FALSE,FALSE
num_PA55,NA,numeric,6504,1575,4929,24.22,75.78,151,FALSE,TRUE,FALSE,FALSE
num_PA21,NA,numeric,6504,891,5613,13.7,86.3,3,FALSE,TRUE,FALSE,FALSE
num_H1TS8,NA,numeric,6504,15,6489,0.23,99.77,3,FALSE,TRUE,FALSE,FALSE
num_H1GH44,NA,numeric,6504,55,6449,0.85,99.15,6,FALSE,TRUE,FALSE,FALSE
num_H1GH46,NA,numeric,6504,81,6423,1.25,98.75,6,FALSE,TRUE,FALSE,FALSE
num_H1RP5,NA,numeric,6504,2111,4393,32.46,67.54,6,FALSE,TRUE,FALSE,FALSE
num_H1RP6,NA,numeric,6504,2114,4390,32.5,67.5,6,FALSE,TRUE,FALSE,FALSE
num_H1BC6,NA,numeric,6504,1868,4636,28.72,71.28,6,FALSE,TRUE,FALSE,FALSE
num_H1BC1,NA,numeric,6504,1833,4671,28.18,71.82,6,FALSE,TRUE,FALSE,FALSE
num_H1BC2,NA,numeric,6504,1852,4652,28.47,71.53,6,FALSE,TRUE,FALSE,FALSE
num_H1BC3,NA,numeric,6504,1849,4655,28.43,71.57,6,FALSE,TRUE,FALSE,FALSE
num_H1BC4,NA,numeric,6504,1858,4646,28.57,71.43,6,FALSE,TRUE,FALSE,FALSE
num_H1BC5,NA,numeric,6504,1882,4622,28.94,71.06,6,FALSE,TRUE,FALSE,FALSE
num_H1BC7,NA,numeric,6504,1827,4677,28.09,71.91,6,FALSE,TRUE,FALSE,FALSE
num_H1BC8,NA,numeric,6504,1864,4640,28.66,71.34,6,FALSE,TRUE,FALSE,FALSE
num_H1MO1,NA,numeric,6504,2147,4357,33.01,66.99,6,FALSE,TRUE,FALSE,FALSE
num_H1MO2,NA,numeric,6504,2168,4336,33.33,66.67,6,FALSE,TRUE,FALSE,FALSE
