model_id,sample_name,outcome,model_stage,term,term_variable,estimate_log_odds,std_error,statistic,p_value,odds_ratio,conf_low_or,conf_high_or,significance,coefficient_status
main_grade_10_12__a_H1CO3_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO3_yesno,M6_final_parsimonious_model,num_H1BC15,num_H1BC1,0.89977340607412,0.323045452892555,2.7852842317312696,0.005408622222384077,2.4590458431710407,1.3055237723892659,4.631785791039413,**,estimated
main_grade_10_12__a_H1CO3_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO3_yesno,M6_final_parsimonious_model,num_H1PF64,num_H1PF6,-1.265149588641744,0.4864671267083382,-2.6006887602094144,0.00938599335916231,0.28219707950521017,0.1087585319922008,0.7322201782475385,**,estimated
main_grade_10_12__a_H1CO3_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO3_yesno,M6_final_parsimonious_model,num_H1BC13,num_H1BC1,0.8868622949996156,0.34870887257234073,2.5432742460994686,0.011071633751191379,2.4275009074391716,1.2255538996211026,4.808242752472847,*,estimated
main_grade_10_12__a_H1CO3_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO3_yesno,M6_final_parsimonious_model,num_H1BC45,num_H1BC4,0.9916390168627878,0.40427709256521976,2.4528696656311593,0.014274047961187994,2.695649067841113,1.220494269258323,5.9537550318596955,*,estimated
main_grade_10_12__a_H1CO3_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO3_yesno,M6_final_parsimonious_model,num_H1BC14,num_H1BC1,0.7534028993111543,0.32451392734086026,2.321635023447857,0.020372678663823588,2.12421622556368,1.124519239578999,4.01264328268615,*,estimated
main_grade_10_12__a_H1CO3_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO3_yesno,M6_final_parsimonious_model,num_H1PF65,num_H1PF6,-1.659587860133214,0.7265646214346039,-2.284157267190292,0.02248759241944989,0.19021736010610327,0.045791604242658594,0.7901589097860849,*,estimated
main_grade_10_12__a_H1CO3_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO3_yesno,M6_final_parsimonious_model,num_H1BC44,num_H1BC4,0.8766644665792256,0.4110845529214764,2.1325648466939167,0.033106287298643865,2.402871466546889,1.073515463359762,5.378396009942015,*,estimated
main_grade_10_12__a_H1CO3_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO3_yesno,M6_final_parsimonious_model,num_H1SE23,num_H1SE2,-0.5235518111794183,0.25044184571045386,-2.0905125087790566,0.036723020477050936,0.5924126688517999,0.36261347152536966,0.9678426141747974,*,estimated
main_grade_10_12__a_H1CO3_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO3_yesno,M6_final_parsimonious_model,num_H1BC34,num_H1BC3,-0.8070004603510301,0.3888013796898411,-2.0756111024986574,0.03808302989502342,0.4461944388801547,0.2082426766826667,0.9560455160253304,*,estimated
main_grade_10_12__a_H1CO6_yesno__M0_core_controls,main_grade_10_12,a_H1CO6_yesno,M0_core_controls,a_age_wave1,a_age_wave1,-0.1714003969286405,0.07940739851680514,-2.158494046274123,0.031025429108824346,0.8424841778528023,0.7210556948411238,0.9843616727674604,*,estimated
main_grade_10_12__a_H1CO6_yesno__M1_family_context,main_grade_10_12,a_H1CO6_yesno,M1_family_context,num_H1PR76,num_H1PR7,-27.42463848468219,1.3108663651592445,-20.92100248628367,7.76996771263456e-86,1.2292234533255285e-12,9.414534716672788e-14,1.604954831734414e-11,***,estimated
main_grade_10_12__a_H1CO6_yesno__M1_family_context,main_grade_10_12,a_H1CO6_yesno,M1_family_context,num_H1PR86,num_H1PR8,13.287622596034643,1.1782037883836847,11.27786442977172,2.0694571906748194e-28,589849.4395039476,58591.39787235058,5938113.339455015,***,estimated
main_grade_10_12__a_H1CO6_yesno__M1_family_context,main_grade_10_12,a_H1CO6_yesno,M1_family_context,num_H1RM1,num_H1RM1,0.07510275725403069,0.026269296554819035,2.8589557812218342,0.004307062045707835,1.0779949169910525,1.0238959764986069,1.1349522487943167,**,estimated
main_grade_10_12__a_H1CO6_yesno__M1_family_context,main_grade_10_12,a_H1CO6_yesno,M1_family_context,num_H1PR72,num_H1PR7,-1.0582764463436358,0.40436776657336704,-2.617113760850733,0.008953655582727689,0.34705346040175344,0.15710557163350825,0.7666571154955913,**,estimated
main_grade_10_12__a_H1CO6_yesno__M1_family_context,main_grade_10_12,a_H1CO6_yesno,M1_family_context,num_H1WP84,num_H1WP8,0.554236348505489,0.23616606706521961,2.3468077162517638,0.019059923794015585,1.7406112567267287,1.0956533555410568,2.765224540883789,*,estimated
main_grade_10_12__a_H1CO6_yesno__M1_family_context,main_grade_10_12,a_H1CO6_yesno,M1_family_context,num_H1WP85,num_H1WP8,0.519188542651816,0.23625948295484295,2.1975352530126813,0.028129251429154463,1.680663309629441,1.0577245565975921,2.6704770563525897,*,estimated
main_grade_10_12__a_H1CO6_yesno__M1_family_context,main_grade_10_12,a_H1CO6_yesno,M1_family_context,num_H1WP83,num_H1WP8,0.5095005172667367,0.2377677312701624,2.142849723740768,0.0322799911640048,1.664459618444496,1.044434681062557,2.652560156862946,*,estimated
main_grade_10_12__a_H1CO6_yesno__M1_family_context,main_grade_10_12,a_H1CO6_yesno,M1_family_context,num_H1WP82,num_H1WP8,0.5569972414842599,0.2611773722675323,2.132639733099504,0.03311054507670394,1.7454235381643988,1.0461215796674694,2.912188589539201,*,estimated
main_grade_10_12__a_H1CO6_yesno__M1_family_context,main_grade_10_12,a_H1CO6_yesno,M1_family_context,num_H1PR73,num_H1PR7,-0.8062325928465099,0.39259747788658006,-2.0535857672509743,0.040182723311584116,0.44653718866683906,0.20685780595689401,0.9639252429470085,*,estimated
