model_id,sample_name,outcome,model_stage,term,term_variable,estimate_log_odds,std_error,statistic,p_value,odds_ratio,conf_low_or,conf_high_or,significance,coefficient_status,outcome_domain,term_domain,ci_width_ratio,absolute_log_or,p_value_band,or_direction,extreme_or_flag,ci_width_flag,conceptual_overlap_flag,coefficient_reporting_decision
main_grade_10_12__a_H1CO13_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO13_yesno,M4_peers_relationships,num_H1PF123,num_H1PF12,-0.5734547852957713,0.3669335335398533,-1.5628301391905557,0.11876847104291466,0.5635750407724939,0.2745437881633008,1.1568895027877926,NA,estimated,condom_or_contraceptive_use,other,4.213861513776687,0.5734547852957712,not_statistically_significant,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized
main_grade_10_12__a_H1CO13_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO13_yesno,M4_peers_relationships,(Intercept),(Intercept),4.346616963716405,3.1803362296679603,1.3667161739594462,0.17237048303319813,77.21679334240002,0.15154964068227575,39343.10333723041,NA,estimated,condom_or_contraceptive_use,other,259605.38843977425,4.346616963716405,not_statistically_significant,higher_odds,very_extreme_or_review,very_wide_ci_review,no_automatic_overlap_flag,exclude_intercept
main_grade_10_12__a_H1CO13_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO13_yesno,M4_peers_relationships,a_grade_wave111,a_grade_wave1,0.5013561944051537,0.3677944181529436,1.3631424775910268,0.17349305458218722,1.6509587741650034,0.8029034047985145,3.3947606370861076,NA,estimated,condom_or_contraceptive_use,core_sociodemographic,4.228105917595417,0.5013561944051537,not_statistically_significant,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized
main_grade_10_12__a_H1CO13_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO13_yesno,M4_peers_relationships,num_H1PF122,num_H1PF12,-0.29181978710337547,0.2889956983254859,-1.0097720789418427,0.31312627825488193,0.7469031254213458,0.4239026895701925,1.31601967265131,NA,estimated,condom_or_contraceptive_use,other,3.1045324906658682,0.29181978710337547,not_statistically_significant,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized
main_grade_10_12__a_H1CO13_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO13_yesno,M4_peers_relationships,a_age_wave1,a_age_wave1,-0.19617844809186977,0.1969875269509424,-0.9958927406643664,0.3198168919763099,0.8218655612506005,0.558626603710105,1.2091493607423878,NA,estimated,condom_or_contraceptive_use,core_sociodemographic,2.164503718068298,0.19617844809186977,not_statistically_significant,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized
main_grade_10_12__a_H1CO13_yesno__M4_peers_relationships,main_grade_10_12,a_H1CO13_yesno,M4_peers_relationships,num_H1PF124,num_H1PF12,-0.5385156756607891,0.707843696993551,-0.7607833169215822,0.4471696333591466,0.5836138820673014,0.14574608403918587,2.336976431216426,NA,estimated,condom_or_contraceptive_use,other,16.0345744218287,0.538515675660789,not_statistically_significant,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1SE26,num_H1SE2,-17.86340699124457,1.386172169583425,-12.88686022069893,2.957580136967245e-28,1.7459062340948695e-8,1.1536852608466135e-9,2.642131854934564e-7,***,estimated,condom_or_contraceptive_use,sexual_behavior_related,229.0166949862632,17.86340699124457,p_lt_0_001,lower_odds,very_extreme_or_review,very_wide_ci_review,no_automatic_overlap_flag,exclude_or_review_due_to_very_extreme_or
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1SE25,num_H1SE2,14.32980233518618,1.1383205885136636,12.588547092780775,2.5097790374346613e-27,1672453.6125205753,179637.09964538531,15570843.058336932,***,estimated,condom_or_contraceptive_use,sexual_behavior_related,86.67943920868647,14.32980233518618,p_lt_0_001,higher_odds,very_extreme_or_review,wide_ci_review,no_automatic_overlap_flag,exclude_or_review_due_to_very_extreme_or
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1PF125,num_H1PF12,-16.547175571779622,1.6842216629155282,-9.824820530532234,6.277567293018774e-19,6.51107890024227e-8,2.398913210535461e-9,1.7672231016526565e-6,***,estimated,condom_or_contraceptive_use,other,736.6765474846816,16.547175571779622,p_lt_0_001,lower_odds,very_extreme_or_review,very_wide_ci_review,no_automatic_overlap_flag,exclude_or_review_due_to_very_extreme_or
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1MO23,num_H1MO2,4.053734597403969,1.3073251163807746,3.100785372062927,0.00220020028642762,57.61221420568377,4.44321124898477,747.0199006270493,**,estimated,condom_or_contraceptive_use,other,168.1261274259098,4.053734597403969,p_lt_0_01,higher_odds,very_extreme_or_review,very_wide_ci_review,no_automatic_overlap_flag,exclude_or_review_due_to_very_extreme_or
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1MO24,num_H1MO2,3.1710341591002713,1.2818344456110773,2.473825048123569,0.01417606473948235,23.832117818294392,1.9321601885909545,293.9558754283527,*,estimated,condom_or_contraceptive_use,other,152.13845992899934,3.1710341591002713,p_lt_0_05,higher_odds,very_extreme_or_review,very_wide_ci_review,no_automatic_overlap_flag,exclude_or_review_due_to_very_extreme_or
