model_id,model_type,term,estimate,std_error,statistic,p_value,p_value_display,conf_low,conf_high,dependent_variable,outcome_label,model_variant,weighted
M3_D_adjusted_weighted,linear_regression,residence_covariateUrban,0.00705,0.05562,0.1268,0.89912,0.899,-0.10202,0.11612,partner_norm_delay_H1MO2,Partner norm item,D_adjusted_weighted,TRUE
M4_A_unadjusted,linear_regression,(Intercept),4.03934,0.1389,29.0818,0,<0.001,3.76694,4.31173,maternal_norm_delay_H1MO4,Maternal norm item,A_unadjusted,FALSE
M4_A_unadjusted,linear_regression,family_connectedness_mean_1_5,0.05489,0.03371,1.6284,0.10361,0.104,-0.01122,0.121,maternal_norm_delay_H1MO4,Maternal norm item,A_unadjusted,FALSE
M4_B_interpersonal,linear_regression,(Intercept),3.72279,0.16277,22.8709,0,<0.001,3.40357,4.04201,maternal_norm_delay_H1MO4,Maternal norm item,B_interpersonal,FALSE
M4_B_interpersonal,linear_regression,family_connectedness_mean_1_5,0.01633,0.03521,0.4638,0.64285,0.643,-0.05272,0.08537,maternal_norm_delay_H1MO4,Maternal norm item,B_interpersonal,FALSE
M4_B_interpersonal,linear_regression,friend_support_mean_1_5,0.11023,0.02986,3.6921,2.3e-4,<0.001,0.05168,0.16879,maternal_norm_delay_H1MO4,Maternal norm item,B_interpersonal,FALSE
M4_C_adjusted,linear_regression,(Intercept),5.74434,0.41812,13.7385,0,<0.001,4.92431,6.56437,maternal_norm_delay_H1MO4,Maternal norm item,C_adjusted,FALSE
M4_C_adjusted,linear_regression,family_connectedness_mean_1_5,0.0084,0.03582,0.2345,0.81464,0.815,-0.06186,0.07866,maternal_norm_delay_H1MO4,Maternal norm item,C_adjusted,FALSE
M4_C_adjusted,linear_regression,friend_support_mean_1_5,0.07797,0.03096,2.5188,0.01186,0.012,0.01726,0.13868,maternal_norm_delay_H1MO4,Maternal norm item,C_adjusted,FALSE
M4_C_adjusted,linear_regression,age_covariate,-0.10523,0.0379,-2.7768,0.00554,0.006,-0.17955,-0.03091,maternal_norm_delay_H1MO4,Maternal norm item,C_adjusted,FALSE
M4_C_adjusted,linear_regression,sex_covariateMale,-0.3015,0.04497,-6.7046,0,<0.001,-0.3897,-0.21331,maternal_norm_delay_H1MO4,Maternal norm item,C_adjusted,FALSE
M4_C_adjusted,linear_regression,grade_covariate,0.0071,0.03522,0.2017,0.8402,0.840,-0.06196,0.07617,maternal_norm_delay_H1MO4,Maternal norm item,C_adjusted,FALSE
M4_C_adjusted,linear_regression,residence_covariateUrban,-0.10201,0.04905,-2.0795,0.03771,0.038,-0.19821,-0.0058,maternal_norm_delay_H1MO4,Maternal norm item,C_adjusted,FALSE
M4_D_adjusted_weighted,linear_regression,(Intercept),6.08822,0.41639,14.6216,0,<0.001,5.27159,6.90484,maternal_norm_delay_H1MO4,Maternal norm item,D_adjusted_weighted,TRUE
M4_D_adjusted_weighted,linear_regression,family_connectedness_mean_1_5,-0.01595,0.03637,-0.4385,0.66108,0.661,-0.08727,0.05537,maternal_norm_delay_H1MO4,Maternal norm item,D_adjusted_weighted,TRUE
M4_D_adjusted_weighted,linear_regression,friend_support_mean_1_5,0.06717,0.03137,2.1415,0.03236,0.032,0.00565,0.12869,maternal_norm_delay_H1MO4,Maternal norm item,D_adjusted_weighted,TRUE
M4_D_adjusted_weighted,linear_regression,age_covariate,-0.11455,0.03881,-2.9517,0.0032,0.003,-0.19066,-0.03844,maternal_norm_delay_H1MO4,Maternal norm item,D_adjusted_weighted,TRUE
M4_D_adjusted_weighted,linear_regression,sex_covariateMale,-0.30672,0.04521,-6.7842,0,<0.001,-0.39539,-0.21805,maternal_norm_delay_H1MO4,Maternal norm item,D_adjusted_weighted,TRUE
M4_D_adjusted_weighted,linear_regression,grade_covariate,0.00507,0.03577,0.1416,0.88738,0.887,-0.06509,0.07523,maternal_norm_delay_H1MO4,Maternal norm item,D_adjusted_weighted,TRUE
M4_D_adjusted_weighted,linear_regression,residence_covariateUrban,-0.1325,0.05001,-2.6495,0.00813,0.008,-0.23058,-0.03442,maternal_norm_delay_H1MO4,Maternal norm item,D_adjusted_weighted,TRUE
