priority_id,thesis_construct_block,thesis_item_codes,theoretical_model,add_health_target_domain,expected_wave_priority,mapping_priority,file_name,page_number,n_hits_on_page,matched_keywords,page_rank_within_document,manual_review_action,context_exported
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,149,3,birth; pregnancy; pregnant,4,Review this page first; keyword density suggests possible relevant variable entries.,No
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,add_health_wave01_in_home_public_use_variable_description_frequencies.pdf,1052,3,birth; pregnancy; pregnant,5,Review this page first; keyword density suggests possible relevant variable entries.,No
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,582,4,birth; got pregnant; pregnancy; pregnant,1,Review this page first; keyword density suggests possible relevant variable entries.,No
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,589,4,birth; got pregnant; pregnancy; pregnant,2,Review this page first; keyword density suggests possible relevant variable entries.,No
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,594,4,birth; got pregnant; pregnancy; pregnant,3,Review this page first; keyword density suggests possible relevant variable entries.,No
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,595,4,birth; got pregnant; pregnancy; pregnant,4,Review this page first; keyword density suggests possible relevant variable entries.,No
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,add_health_wave02_in_home_public_use_codebook_questionnaire.pdf,578,3,birth; pregnancy; pregnant,5,Review this page first; keyword density suggests possible relevant variable entries.,No
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,4,1,birth,1,Review this page first; keyword density suggests possible relevant variable entries.,No
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,105,1,birth,2,Review this page first; keyword density suggests possible relevant variable entries.,No
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,106,1,birth,3,Review this page first; keyword density suggests possible relevant variable entries.,No
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,108,1,birth,4,Review this page first; keyword density suggests possible relevant variable entries.,No
9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Wave I to Wave IV,Critical,add_health_wave03_in_home_public_use_codebook_questionnaire.pdf,111,1,birth,5,Review this page first; keyword density suggests possible relevant variable entries.,No
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,79,4,AIDS; sexually transmitted; STD; STI,1,Review this page first; keyword density suggests possible relevant variable entries.,No
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,268,4,AIDS; HIV; sexually transmitted; STI,2,Review this page first; keyword density suggests possible relevant variable entries.,No
10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Wave I to Wave III,Critical,add_health_wave01_in_home_public_use_codebook_questionnaire.pdf,76,3,AIDS; STI; test,3,Review this page first; keyword density suggests possible relevant variable entries.,No
