sample_name,variable,variable_label,variable_class,variable_role,n_total,n_missing,n_nonmissing,pct_missing,pct_nonmissing,weighted_pct_missing,weighted_pct_nonmissing,n_unique_nonmissing,is_binary_01,public_n_nonmissing,availability_class
full_weighted_wave1,H1WP14,S16Q14 DAD-HOW MUCH DOES HE CARE-W1,haven_labelled,original_imported_variable,6504,1957,4547,30.09,69.91,28.31,71.69,5,FALSE,4547,moderate_availability
full_weighted_wave1,H1RP3,S8Q3 WILL SUFFER IF HIV POSITIVE-W1,haven_labelled,original_imported_variable,6504,2077,4427,31.93,68.07,35.03,64.97,5,FALSE,4427,moderate_availability
full_weighted_wave1,H1MO9,S17Q9 IF PREGNANT EMBARRASS FAMILY-W1,haven_labelled,original_imported_variable,6504,2159,4345,33.19,66.81,36.33,63.67,5,FALSE,4345,moderate_availability
full_weighted_wave1,H1MO10,S17Q10 IF PREGNANT EMBARRASS SELF-W1,haven_labelled,original_imported_variable,6504,2148,4356,33.03,66.97,36.18,63.82,5,FALSE,4356,moderate_availability
full_weighted_wave1,H1MO11,S17Q11 IF PREGNANT HAVE TO QUIT SCH-W1,haven_labelled,original_imported_variable,6504,2171,4333,33.38,66.62,36.5,63.5,5,FALSE,4333,moderate_availability
full_weighted_wave1,H1MO12,S17Q12 IF PREGNANT MARRY WRONG PERSON-W1,haven_labelled,original_imported_variable,6504,2164,4340,33.27,66.73,36.41,63.59,5,FALSE,4340,moderate_availability
full_weighted_wave1,H1MO13,S17Q13 IF PREGNANT GROW UP TOO FAST-W1,haven_labelled,original_imported_variable,6504,2153,4351,33.1,66.9,36.26,63.74,5,FALSE,4351,moderate_availability
full_weighted_wave1,H1MO14,S17Q14 IF PREGNANT MAKE HARD DECISION-W1,haven_labelled,original_imported_variable,6504,2154,4350,33.12,66.88,36.24,63.76,5,FALSE,4350,moderate_availability
full_weighted_wave1,derived_grade_wave1,NA,numeric,script05_derived_variable,6504,167,6337,2.57,97.43,2.66,97.34,6,FALSE,6337,high_availability
full_weighted_wave1,derived_grade_10_12_flag,NA,logical,script05_derived_variable,6504,0,6504,0,100,-0,100,2,TRUE,6504,high_availability
full_weighted_wave1,derived_age_wave1,NA,numeric,script05_derived_variable,6504,3,6501,0.05,99.95,0.02,99.98,11,FALSE,6501,high_availability
full_weighted_wave1,derived_age_15_19_flag,NA,logical,script05_derived_variable,6504,0,6504,0,100,-0,100,2,TRUE,6504,high_availability
full_weighted_wave1,derived_main_sample_flag,NA,logical,script05_derived_variable,6504,0,6504,0,100,-0,100,2,TRUE,6504,high_availability
full_weighted_wave1,derived_strict_sample_flag,NA,logical,script05_derived_variable,6504,0,6504,0,100,-0,100,2,TRUE,6504,high_availability
full_weighted_wave1,a_grade_wave1,NA,numeric,core_covariate,6504,167,6337,2.57,97.43,2.66,97.34,6,FALSE,6337,high_availability
full_weighted_wave1,a_sample_grade_10_12,NA,logical,sample_definition_variable,6504,0,6504,0,100,-0,100,2,TRUE,6504,high_availability
full_weighted_wave1,a_age_wave1,NA,numeric,core_covariate,6504,3,6501,0.05,99.95,0.02,99.98,11,FALSE,6501,high_availability
full_weighted_wave1,a_sample_age_15_19,NA,logical,sample_definition_variable,6504,0,6504,0,100,-0,100,2,TRUE,6504,high_availability
full_weighted_wave1,a_female,NA,integer,core_covariate,6504,1,6503,0.02,99.98,0,100,1,TRUE,6503,high_availability
full_weighted_wave1,a_main_sample_grade_10_12,NA,logical,sample_definition_variable,6504,0,6504,0,100,-0,100,2,TRUE,6504,high_availability
full_weighted_wave1,a_strict_sample_grade_age,NA,logical,sample_definition_variable,6504,0,6504,0,100,-0,100,2,TRUE,6504,high_availability
full_weighted_wave1,num_H1GI20,NA,numeric,numeric_cleaned_item,6504,167,6337,2.57,97.43,2.66,97.34,6,FALSE,6337,high_availability
full_weighted_wave1,num_H1GI1Y,NA,numeric,numeric_cleaned_item,6504,3,6501,0.05,99.95,0.02,99.98,10,FALSE,6501,high_availability
full_weighted_wave1,num_H1GI1M,NA,numeric,numeric_cleaned_item,6504,3,6501,0.05,99.95,0.02,99.98,12,FALSE,6501,high_availability
full_weighted_wave1,num_IMONTH,NA,numeric,numeric_cleaned_item,6504,0,6504,0,100,-0,100,10,FALSE,6504,high_availability
full_weighted_wave1,num_IYEAR,NA,numeric,numeric_cleaned_item,6504,0,6504,0,100,-0,100,2,FALSE,6504,high_availability
full_weighted_wave1,num_H1CO1,NA,numeric,numeric_cleaned_item,6504,86,6418,1.32,98.68,1.65,98.35,2,TRUE,6418,high_availability
full_weighted_wave1,num_H1CO2M,NA,numeric,numeric_cleaned_item,6504,4128,2376,63.47,36.53,64.77,35.23,12,FALSE,2376,not_recommended_high_missingness
full_weighted_wave1,num_H1CO2Y,NA,numeric,numeric_cleaned_item,6504,4117,2387,63.3,36.7,64.63,35.37,15,FALSE,2387,not_recommended_high_missingness
full_weighted_wave1,num_H1CO8,NA,numeric,numeric_cleaned_item,6504,5867,637,90.21,9.79,90.06,9.94,2,TRUE,637,not_recommended_high_missingness
full_weighted_wave1,num_H1CO9,NA,numeric,numeric_cleaned_item,6504,6117,387,94.05,5.95,93.97,6.03,5,FALSE,387,not_recommended_high_missingness
full_weighted_wave1,num_H1CO3,NA,numeric,numeric_cleaned_item,6504,3956,2548,60.82,39.18,62.28,37.72,2,TRUE,2548,not_recommended_high_missingness
full_weighted_wave1,num_H1CO6,NA,numeric,numeric_cleaned_item,6504,3971,2533,61.05,38.95,62.52,37.48,2,TRUE,2533,not_recommended_high_missingness
full_weighted_wave1,num_H1CO13,NA,numeric,numeric_cleaned_item,6504,5881,623,90.42,9.58,90.92,9.08,2,TRUE,623,not_recommended_high_missingness
full_weighted_wave1,num_H1FP7,NA,numeric,numeric_cleaned_item,6504,5254,1250,80.78,19.22,81.98,18.02,2,TRUE,1250,not_recommended_high_missingness
full_weighted_wave1,num_H1FP8,NA,numeric,numeric_cleaned_item,6504,6271,233,96.42,3.58,96.7,3.3,4,FALSE,233,not_recommended_high_missingness
full_weighted_wave1,num_H1CO16D,NA,numeric,numeric_cleaned_item,6504,3942,2562,60.61,39.39,62.1,37.9,2,TRUE,2562,not_recommended_high_missingness
full_weighted_wave1,num_H1HS9,NA,numeric,numeric_cleaned_item,6504,21,6483,0.32,99.68,0.33,99.67,2,TRUE,6483,high_availability
full_weighted_wave1,num_H1CO16A,NA,numeric,numeric_cleaned_item,6504,3946,2558,60.67,39.33,62.18,37.82,2,TRUE,2558,not_recommended_high_missingness
full_weighted_wave1,num_H1CO16C,NA,numeric,numeric_cleaned_item,6504,3943,2561,60.62,39.38,62.12,37.88,2,TRUE,2561,not_recommended_high_missingness
full_weighted_wave1,num_H1SE1,NA,numeric,numeric_cleaned_item,6504,2161,4343,33.23,66.77,36.26,63.74,6,FALSE,4343,moderate_availability
full_weighted_wave1,num_H1SE2,NA,numeric,numeric_cleaned_item,6504,2134,4370,32.81,67.19,35.84,64.16,6,FALSE,4370,moderate_availability
full_weighted_wave1,num_H1SE3,NA,numeric,numeric_cleaned_item,6504,2134,4370,32.81,67.19,35.88,64.12,6,FALSE,4370,moderate_availability
full_weighted_wave1,num_H1PF6,NA,numeric,numeric_cleaned_item,6504,209,6295,3.21,96.79,3.81,96.19,5,FALSE,6295,high_availability
full_weighted_wave1,num_H1PF12,NA,numeric,numeric_cleaned_item,6504,366,6138,5.63,94.37,6.18,93.82,5,FALSE,6138,high_availability
full_weighted_wave1,num_H1PF9,NA,numeric,numeric_cleaned_item,6504,437,6067,6.72,93.28,7.43,92.57,5,FALSE,6067,high_availability
full_weighted_wave1,num_H1PF17,NA,numeric,numeric_cleaned_item,6504,464,6040,7.13,92.87,7.6,92.4,5,FALSE,6040,high_availability
