model_id,sample_name,outcome,model_stage,predictor,predictor_source,predictor_status
main_grade_10_12__a_H1FP7_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1FP7_yesno,M6_final_parsimonious_model,num_H1MO13,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1FP7_yesno,M6_final_parsimonious_model,num_H1MO14,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1FP7_yesno,M6_final_parsimonious_model,num_H1MO9,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1FP7_yesno,M6_final_parsimonious_model,num_H1PA7,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1FP7_yesno,M6_final_parsimonious_model,num_H1PR8,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1FP7_yesno,M6_final_parsimonious_model,num_H1RP5,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1FP7_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1FP7_yesno,M6_final_parsimonious_model,num_H1WP1,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1HS9_yesno__M0_core_controls,main_grade_10_12,a_H1HS9_yesno,M0_core_controls,a_age_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1HS9_yesno__M0_core_controls,main_grade_10_12,a_H1HS9_yesno,M0_core_controls,a_female,mandatory_control,removed_no_variation
main_grade_10_12__a_H1HS9_yesno__M0_core_controls,main_grade_10_12,a_H1HS9_yesno,M0_core_controls,a_grade_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1HS9_yesno__M1_family_context,main_grade_10_12,a_H1HS9_yesno,M1_family_context,a_age_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1HS9_yesno__M1_family_context,main_grade_10_12,a_H1HS9_yesno,M1_family_context,a_female,mandatory_control,removed_no_variation
main_grade_10_12__a_H1HS9_yesno__M1_family_context,main_grade_10_12,a_H1HS9_yesno,M1_family_context,a_grade_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1HS9_yesno__M1_family_context,main_grade_10_12,a_H1HS9_yesno,M1_family_context,num_H1PR5,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1HS9_yesno__M1_family_context,main_grade_10_12,a_H1HS9_yesno,M1_family_context,num_H1PR8,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1HS9_yesno__M1_family_context,main_grade_10_12,a_H1HS9_yesno,M1_family_context,num_H1WP13,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1HS9_yesno__M1_family_context,main_grade_10_12,a_H1HS9_yesno,M1_family_context,num_H1WP14,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1HS9_yesno__M1_family_context,main_grade_10_12,a_H1HS9_yesno,M1_family_context,num_H1WP8,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1HS9_yesno__M2_school_context,main_grade_10_12,a_H1HS9_yesno,M2_school_context,a_age_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1HS9_yesno__M2_school_context,main_grade_10_12,a_H1HS9_yesno,M2_school_context,a_female,mandatory_control,removed_no_variation
main_grade_10_12__a_H1HS9_yesno__M2_school_context,main_grade_10_12,a_H1HS9_yesno,M2_school_context,a_grade_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1HS9_yesno__M2_school_context,main_grade_10_12,a_H1HS9_yesno,M2_school_context,num_H1ED19,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1HS9_yesno__M2_school_context,main_grade_10_12,a_H1HS9_yesno,M2_school_context,num_H1ED20,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1HS9_yesno__M2_school_context,main_grade_10_12,a_H1HS9_yesno,M2_school_context,num_H1ED23,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1HS9_yesno__M2_school_context,main_grade_10_12,a_H1HS9_yesno,M2_school_context,num_H1ED24,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1HS9_yesno__M2_school_context,main_grade_10_12,a_H1HS9_yesno,M2_school_context,num_H1PR2,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1HS9_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1HS9_yesno,M3_knowledge_attitudes,a_age_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1HS9_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1HS9_yesno,M3_knowledge_attitudes,a_female,mandatory_control,removed_no_variation
main_grade_10_12__a_H1HS9_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1HS9_yesno,M3_knowledge_attitudes,a_grade_wave1,mandatory_control,used_in_model
main_grade_10_12__a_H1HS9_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1HS9_yesno,M3_knowledge_attitudes,num_H1GH46,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1HS9_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1HS9_yesno,M3_knowledge_attitudes,num_H1HS9,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1HS9_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1HS9_yesno,M3_knowledge_attitudes,num_H1MO10,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1HS9_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1HS9_yesno,M3_knowledge_attitudes,num_H1MO9,suggested_block_predictor,used_in_model
main_grade_10_12__a_H1HS9_yesno__M3_knowledge_attitudes,main_grade_10_12,a_H1HS9_yesno,M3_knowledge_attitudes,num_H1PA7,suggested_block_predictor,used_in_model
