model_id,model_type,term,estimate,std_error,statistic,p_value,p_value_display,conf_low,conf_high,dependent_variable,outcome_label,model_variant,weighted
M3_C_adjusted,standardized_linear_regression,friend_support_mean_1_5,-0.04917,0.02406,-2.0436,0.04112,0.041,-0.09635,-0.00198,partner_norm_delay_H1MO2,Partner norm item,C_adjusted,FALSE
M3_C_adjusted,standardized_linear_regression,age_covariate,-0.00795,0.04127,-0.1926,0.84732,0.847,-0.08888,0.07299,partner_norm_delay_H1MO2,Partner norm item,C_adjusted,FALSE
M3_C_adjusted,standardized_linear_regression,sex_covariateMale,-0.20658,0.04578,-4.5122,1e-5,<0.001,-0.29637,-0.11679,partner_norm_delay_H1MO2,Partner norm item,C_adjusted,FALSE
M3_C_adjusted,standardized_linear_regression,grade_covariate,-0.03827,0.04127,-0.9274,0.35384,0.354,-0.1192,0.042659999999999997,partner_norm_delay_H1MO2,Partner norm item,C_adjusted,FALSE
M3_C_adjusted,standardized_linear_regression,residence_covariateUrban,0.00861,0.04993,0.1724,0.86317,0.863,-0.08932,0.10653,partner_norm_delay_H1MO2,Partner norm item,C_adjusted,FALSE
M3_D_adjusted_weighted,standardized_linear_regression,(Intercept),0.092,0.04845,1.8988,0.05774,0.058,-0.00302,0.18702,partner_norm_delay_H1MO2,Partner norm item,D_adjusted_weighted,TRUE
M3_D_adjusted_weighted,standardized_linear_regression,family_connectedness_mean_1_5,0.02348,0.02364,0.9933,0.3207,0.321,-0.02288,0.06985,partner_norm_delay_H1MO2,Partner norm item,D_adjusted_weighted,TRUE
M3_D_adjusted_weighted,standardized_linear_regression,friend_support_mean_1_5,-0.04378,0.02417,-1.8109,0.07031,0.070,-0.09118,0.00363,partner_norm_delay_H1MO2,Partner norm item,D_adjusted_weighted,TRUE
M3_D_adjusted_weighted,standardized_linear_regression,age_covariate,-0.026,0.04167,-0.624,0.53272,0.533,-0.10771,0.05572,partner_norm_delay_H1MO2,Partner norm item,D_adjusted_weighted,TRUE
M3_D_adjusted_weighted,standardized_linear_regression,sex_covariateMale,-0.18623,0.04556,-4.0877,5e-5,<0.001,-0.27557,-0.09688,partner_norm_delay_H1MO2,Partner norm item,D_adjusted_weighted,TRUE
M3_D_adjusted_weighted,standardized_linear_regression,grade_covariate,-0.0343,0.04136,-0.8294,0.40696,0.407,-0.11541,0.04681,partner_norm_delay_H1MO2,Partner norm item,D_adjusted_weighted,TRUE
M3_D_adjusted_weighted,standardized_linear_regression,residence_covariateUrban,0.00637,0.05026,0.1268,0.89912,0.899,-0.0922,0.10495,partner_norm_delay_H1MO2,Partner norm item,D_adjusted_weighted,TRUE
M4_A_unadjusted,standardized_linear_regression,(Intercept),0,0.02225,0,1,1.000,-0.04364,0.04364,maternal_norm_delay_H1MO4,Maternal norm item,A_unadjusted,FALSE
M4_A_unadjusted,standardized_linear_regression,family_connectedness_mean_1_5,0.03624,0.02226,1.6284,0.10361,0.104,-0.00741,0.07989,maternal_norm_delay_H1MO4,Maternal norm item,A_unadjusted,FALSE
M4_B_interpersonal,standardized_linear_regression,(Intercept),-0,0.02219,-0,1,1.000,-0.04351,0.04351,maternal_norm_delay_H1MO4,Maternal norm item,B_interpersonal,FALSE
M4_B_interpersonal,standardized_linear_regression,family_connectedness_mean_1_5,0.01079,0.02325,0.4638,0.64285,0.643,-0.03482,0.05639,maternal_norm_delay_H1MO4,Maternal norm item,B_interpersonal,FALSE
M4_B_interpersonal,standardized_linear_regression,friend_support_mean_1_5,0.08586,0.02325,3.6921,2.3e-4,<0.001,0.04025,0.13146,maternal_norm_delay_H1MO4,Maternal norm item,B_interpersonal,FALSE
M4_C_adjusted,standardized_linear_regression,(Intercept),0.22321,0.04732,4.7172,0,<0.001,0.13041,0.31601,maternal_norm_delay_H1MO4,Maternal norm item,C_adjusted,FALSE
M4_C_adjusted,standardized_linear_regression,family_connectedness_mean_1_5,0.00554,0.02362,0.2345,0.81464,0.815,-0.04079,0.05187,maternal_norm_delay_H1MO4,Maternal norm item,C_adjusted,FALSE
M4_C_adjusted,standardized_linear_regression,friend_support_mean_1_5,0.06078,0.02413,2.5188,0.01186,0.012,0.01345,0.10811,maternal_norm_delay_H1MO4,Maternal norm item,C_adjusted,FALSE
M4_C_adjusted,standardized_linear_regression,age_covariate,-0.11431,0.04117,-2.7768,0.00554,0.006,-0.19504,-0.03358,maternal_norm_delay_H1MO4,Maternal norm item,C_adjusted,FALSE
M4_C_adjusted,standardized_linear_regression,sex_covariateMale,-0.30702,0.04579,-6.7046,0,<0.001,-0.39683,-0.21721,maternal_norm_delay_H1MO4,Maternal norm item,C_adjusted,FALSE
M4_C_adjusted,standardized_linear_regression,grade_covariate,0.0083,0.04116,0.2017,0.8402,0.840,-0.07243,0.08903,maternal_norm_delay_H1MO4,Maternal norm item,C_adjusted,FALSE
M4_C_adjusted,standardized_linear_regression,residence_covariateUrban,-0.10387,0.04995,-2.0795,0.03771,0.038,-0.20184,-0.00591,maternal_norm_delay_H1MO4,Maternal norm item,C_adjusted,FALSE
M4_D_adjusted_weighted,standardized_linear_regression,(Intercept),0.25062,0.04897,5.1173,0,<0.001,0.15457,0.34667,maternal_norm_delay_H1MO4,Maternal norm item,D_adjusted_weighted,TRUE
M4_D_adjusted_weighted,standardized_linear_regression,family_connectedness_mean_1_5,-0.01052,0.02398,-0.4385,0.66108,0.661,-0.05755,0.03652,maternal_norm_delay_H1MO4,Maternal norm item,D_adjusted_weighted,TRUE
M4_D_adjusted_weighted,standardized_linear_regression,friend_support_mean_1_5,0.05236,0.02445,2.1415,0.03236,0.032,0.00441,0.10032,maternal_norm_delay_H1MO4,Maternal norm item,D_adjusted_weighted,TRUE
M4_D_adjusted_weighted,standardized_linear_regression,age_covariate,-0.12443,0.04216,-2.9517,0.0032,0.003,-0.20711,-0.04175,maternal_norm_delay_H1MO4,Maternal norm item,D_adjusted_weighted,TRUE
M4_D_adjusted_weighted,standardized_linear_regression,sex_covariateMale,-0.31233,0.04604,-6.7842,0,<0.001,-0.40262,-0.22204,maternal_norm_delay_H1MO4,Maternal norm item,D_adjusted_weighted,TRUE
M4_D_adjusted_weighted,standardized_linear_regression,grade_covariate,0.00592,0.04182,0.1416,0.88738,0.887,-0.07609,0.08793,maternal_norm_delay_H1MO4,Maternal norm item,D_adjusted_weighted,TRUE
M4_D_adjusted_weighted,standardized_linear_regression,residence_covariateUrban,-0.13492,0.05092,-2.6495,0.00813,0.008,-0.2348,-0.03505,maternal_norm_delay_H1MO4,Maternal norm item,D_adjusted_weighted,TRUE
