sav_variable_name,variable_label_from_sav,r_variable_class,n_unique_values,thesis_construct_block,theoretical_model,analysis_role,variable_level,add_health_target_domain,mapping_quality,import_priority,sensitivity_group
H1WP9,S16Q9 CLOSE TO MOM-W1,haven_labelled,6,Family support,Socioecological model,socioecological_family_construct,family_context,Family support or connectedness,near_direct_equivalent,2 - import second,contextual_predictor
H1WP10,S16Q10 MOM-HOW MUCH DOES SHE CARE-W1,haven_labelled,6,Family support,Socioecological model,socioecological_family_construct,family_context,Family support or connectedness,near_direct_equivalent,2 - import second,contextual_predictor
H1WP13,S16Q13 CLOSE TO DAD-W1,haven_labelled,6,Family support,Socioecological model,socioecological_family_construct,family_context,Family support or connectedness,near_direct_equivalent,2 - import second,contextual_predictor
H1WP14,S16Q14 DAD-HOW MUCH DOES HE CARE-W1,haven_labelled,6,Family support,Socioecological model,socioecological_family_construct,family_context,Family support or connectedness,near_direct_equivalent,2 - import second,contextual_predictor
H1RP3,S8Q3 WILL SUFFER IF HIV POSITIVE-W1,haven_labelled,6,Perceived severity,Health Belief Model,health_belief_model_construct,psychosocial_construct,Perceived seriousness of HIV/AIDS,near_direct_equivalent,3 - import after review,sensitive_hiv_sti
H1MO9,S17Q9 IF PREGNANT EMBARRASS FAMILY-W1,haven_labelled,6,Perceived severity,Health Belief Model,health_belief_model_construct,psychosocial_construct,Perceived seriousness of HIV/AIDS,proxy_equivalent,3 - import after review,sensitive_reproductive_health
H1MO10,S17Q10 IF PREGNANT EMBARRASS SELF-W1,haven_labelled,6,Perceived severity,Health Belief Model,health_belief_model_construct,psychosocial_construct,Perceived seriousness of HIV/AIDS,proxy_equivalent,3 - import after review,sensitive_reproductive_health
H1MO11,S17Q11 IF PREGNANT HAVE TO QUIT SCH-W1,haven_labelled,6,Perceived severity,Health Belief Model,health_belief_model_construct,psychosocial_construct,Perceived seriousness of HIV/AIDS,proxy_equivalent,3 - import after review,sensitive_reproductive_health
H1MO12,S17Q12 IF PREGNANT MARRY WRONG PERSON-W1,haven_labelled,6,Perceived severity,Health Belief Model,health_belief_model_construct,psychosocial_construct,Perceived seriousness of HIV/AIDS,proxy_equivalent,3 - import after review,sensitive_reproductive_health
H1MO13,S17Q13 IF PREGNANT GROW UP TOO FAST-W1,haven_labelled,6,Perceived severity,Health Belief Model,health_belief_model_construct,psychosocial_construct,Perceived seriousness of HIV/AIDS,proxy_equivalent,3 - import after review,sensitive_reproductive_health
H1MO14,S17Q14 IF PREGNANT MAKE HARD DECISION-W1,haven_labelled,6,Perceived severity,Health Belief Model,health_belief_model_construct,psychosocial_construct,Perceived seriousness of HIV/AIDS,proxy_equivalent,3 - import after review,sensitive_reproductive_health
derived_grade_wave1,NA,numeric,7,derived_variable,derived_project_variable,sample_filter,derived_sample_alignment,derived_sample_alignment,derived_from_confirmed_variables,derived_after_import,general_covariate
derived_grade_10_12_flag,NA,logical,2,derived_variable,derived_project_variable,sample_filter,derived_sample_alignment,derived_sample_alignment,derived_from_confirmed_variables,derived_after_import,general_covariate
derived_age_wave1,NA,numeric,12,derived_variable,derived_project_variable,sample_filter,derived_sample_alignment,derived_sample_alignment,derived_from_confirmed_variables,derived_after_import,general_covariate
derived_age_15_19_flag,NA,logical,2,derived_variable,derived_project_variable,sample_filter,derived_sample_alignment,derived_sample_alignment,derived_from_confirmed_variables,derived_after_import,general_covariate
derived_main_sample_flag,NA,logical,2,derived_variable,derived_project_variable,sample_filter,derived_sample_alignment,derived_sample_alignment,derived_from_confirmed_variables,derived_after_import,general_covariate
derived_strict_sample_flag,NA,logical,2,derived_variable,derived_project_variable,sample_filter,derived_sample_alignment,derived_sample_alignment,derived_from_confirmed_variables,derived_after_import,general_covariate
