model_id,sample_name,outcome,model_stage,term,term_variable,estimate_log_odds,std_error,statistic,p_value,odds_ratio,conf_low_or,conf_high_or,significance,coefficient_status,outcome_domain,term_domain,ci_width_ratio,absolute_log_or,p_value_band,or_direction,extreme_or_flag,ci_width_flag,conceptual_overlap_flag,coefficient_reporting_decision,final_model_decision,final_model_reporting_status,suitability_score,final_selection_class
strict_grade_10_12_age_15_19__a_H1CO13_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1CO13_yesno,M0_core_controls,a_grade_wave112,a_grade_wave1,0.7420908648135836,0.45243578529401735,1.6402125758715849,0.10162438507463024,2.1003224169249366,0.8652963112398063,5.098085127297918,NA,estimated,condom_or_contraceptive_use,core_sociodemographic,5.891721784868497,0.7420908648135836,not_statistically_significant,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
strict_grade_10_12_age_15_19__a_H1CO13_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1CO13_yesno,M0_core_controls,(Intercept),(Intercept),4.271711098425481,3.276438861146711,1.3037664609222823,0.19294604889759184,71.6441209396496,0.11647145360655872,44069.85494105738,NA,estimated,condom_or_contraceptive_use,other,378374.7311158803,4.271711098425481,not_statistically_significant,higher_odds,very_extreme_or_review,very_wide_ci_review,no_automatic_overlap_flag,exclude_intercept,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
strict_grade_10_12_age_15_19__a_H1CO13_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1CO13_yesno,M0_core_controls,a_grade_wave111,a_grade_wave1,0.45585710647826866,0.35515346408452403,1.2835496555082957,0.1999267047353429,1.577524910570228,0.786436196482931,3.1643823804130045,NA,estimated,condom_or_contraceptive_use,core_sociodemographic,4.023698800442593,0.4558571064782686,not_statistically_significant,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
strict_grade_10_12_age_15_19__a_H1CO13_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1CO13_yesno,M0_core_controls,a_age_wave1,a_age_wave1,-0.20620576269993823,0.20251106974229227,-1.0182443999843944,0.30908125979338436,0.813665637018814,0.5470979311548501,1.2101156505339552,NA,estimated,condom_or_contraceptive_use,core_sociodemographic,2.2118812403102384,0.20620576269993823,not_statistically_significant,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
strict_grade_10_12_age_15_19__a_H1CO16A_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1CO16A_yesno,M0_core_controls,(Intercept),(Intercept),-10.686699769875473,3.4716707119363432,-3.0782584687920784,0.00211448737082592,2.284679370157922e-5,2.5332583985872492e-8,0.02060492457988558,**,estimated,hiv_sti_or_sexual_health,other,813376.3453178152,10.686699769875473,p_lt_0_01,lower_odds,very_extreme_or_review,very_wide_ci_review,no_automatic_overlap_flag,exclude_intercept,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
strict_grade_10_12_age_15_19__a_H1CO16A_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1CO16A_yesno,M0_core_controls,a_age_wave1,a_age_wave1,0.41989319431745065,0.2144556083843652,1.9579492347193976,0.05039475321437683,1.521799010156416,0.99956029858111,2.316890967558897,.,estimated,hiv_sti_or_sexual_health,core_sociodemographic,2.317910155943325,0.4198931943174506,p_lt_0_10,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
strict_grade_10_12_age_15_19__a_H1CO16A_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1CO16A_yesno,M0_core_controls,a_grade_wave111,a_grade_wave1,-0.15257745829978783,0.472726699704972,-0.3227603991799304,0.7469152852396621,0.8584923940197203,0.3398938929215101,2.1683507881087594,NA,estimated,hiv_sti_or_sexual_health,core_sociodemographic,6.379493227933592,0.15257745829978786,not_statistically_significant,lower_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
strict_grade_10_12_age_15_19__a_H1CO16A_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1CO16A_yesno,M0_core_controls,a_grade_wave112,a_grade_wave1,0.00485723872061747,0.5462749544561999,0.0088915640026966,0.9929066658794182,1.0048690542271117,0.344437829049963,2.9316228676984735,NA,estimated,hiv_sti_or_sexual_health,core_sociodemographic,8.511326632688833,0.004857238720617806,not_statistically_significant,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized,alternative_stable_final_model,ready_for_cautious_reporting,100,technically_stable_candidate
strict_grade_10_12_age_15_19__a_H1CO16C_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1CO16C_yesno,M0_core_controls,(Intercept),(Intercept),-13.143576020008595,5.359376312115603,-2.4524450709489733,0.01428599879784012,1.958021526071455e-6,5.3681451071066136e-11,0.07141849223642929,*,estimated,hiv_sti_or_sexual_health,other,1330412848.5998263,13.143576020008597,p_lt_0_05,lower_odds,very_extreme_or_review,very_wide_ci_review,no_automatic_overlap_flag,exclude_intercept,alternative_final_model_with_caution,report_only_after_manual_review,85,usable_with_caution
strict_grade_10_12_age_15_19__a_H1CO16C_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1CO16C_yesno,M0_core_controls,a_age_wave1,a_age_wave1,0.4925351635602381,0.31082755506029613,1.58459298585897,0.11323962038685148,1.636459658483005,0.8898638154095286,3.009449499426895,NA,estimated,hiv_sti_or_sexual_health,core_sociodemographic,3.3819214213603024,0.492535163560238,not_statistically_significant,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized,alternative_final_model_with_caution,report_only_after_manual_review,85,usable_with_caution
strict_grade_10_12_age_15_19__a_H1CO16C_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1CO16C_yesno,M0_core_controls,a_grade_wave111,a_grade_wave1,0.30837934769177383,0.7194875312104196,0.428609717770892,0.6682600522542739,1.3612172656344934,0.3322670674258327,5.576575670337977,NA,estimated,hiv_sti_or_sexual_health,core_sociodemographic,16.78341375671472,0.3083793476917739,not_statistically_significant,higher_odds,not_extreme,ci_width_not_extreme,no_automatic_overlap_flag,not_statistically_prioritized,alternative_final_model_with_caution,report_only_after_manual_review,85,usable_with_caution
