model_id,sample_name,outcome,model_stage,term,term_variable,estimate_log_odds,std_error,statistic,p_value,odds_ratio,conf_low_or,conf_high_or,significance,coefficient_status,or_interpretation_flag
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1SE34,num_H1SE3,-1.2658440930436046,0.9132985681518543,-1.3860134431231612,0.16724128309153688,0.2820011604325057,0.047079892185455594,1.6891426635392213,,estimated,confidence_interval_includes_one
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1PF123,num_H1PF12,-0.8664726457187708,0.6271645917737385,-1.3815713723063103,0.16859990658270588,0.42043194920110627,0.1229822496766856,1.4373051751268424,,estimated,confidence_interval_includes_one
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1SE22,num_H1SE2,0.7806863287609044,0.5801375218663722,1.3456918391510733,0.17988114517220863,2.182969986560857,0.7002042406791851,6.805668525519354,,estimated,confidence_interval_includes_one
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1BC74,num_H1BC7,1.81960222368507,1.361116559166752,1.3368452623917775,0.18274762578648393,6.169403918982582,0.42819086682468255,88.88920260679326,,estimated,large_or_extreme_or_review
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1PA32,num_H1PA3,1.114396370371538,0.8440446684823881,1.3203049696116778,0.18819830904479634,3.0477279249475813,0.5827883585738742,15.938282513458722,,estimated,confidence_interval_includes_one
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1PF124,num_H1PF12,-1.608797694111612,1.2335048055595579,-1.3042492310208789,0.193603988969451,0.2001280846611962,0.017837235706767804,2.2453731580708256,,estimated,confidence_interval_includes_one
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1SE32,num_H1SE3,-0.693697850060199,0.535037256664247,-1.2965412060930865,0.1962395833136352,0.49972474104518444,0.1751047569307076,1.4261452469363674,,estimated,confidence_interval_includes_one
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1PF122,num_H1PF12,-0.5430217310393386,0.42142058498194274,-1.2885505606296055,0.19899966814586922,0.5809900017098356,0.25435964770629826,1.3270555496151388,,estimated,confidence_interval_includes_one
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1PA33,num_H1PA3,0.8826539558995168,0.9250069319678863,0.9542133419711065,0.3410940241414846,2.417306625996622,0.3944118422334519,14.815405366628141,,estimated,confidence_interval_includes_one
main_grade_10_12__a_H1CO13_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1CO13_yesno,M6_final_parsimonious_model,num_H1BC73,num_H1BC7,1.2786353908707786,1.378561642954205,0.9275141212624427,0.35474509947125954,3.591735065398376,0.2409067308501109,53.550022178661514,,estimated,confidence_interval_includes_one
